p_delta  p_omega  det_throughput  
8        1        6.571e-01       
8        3        2.566e-01       
8        5        1.598e-01       
8        9        9.109e-02       
16       1        3.344e-01       
16       3        1.289e-01       
16       5        8.055e-02       
16       9        4.572e-02       
32       1        1.685e-01       
32       3        6.519e-02       
32       5        4.034e-02       
32       9        2.292e-02       
64       1        8.499e-02       
64       3        3.262e-02       
64       5        2.025e-02       
64       9        1.148e-02       

