Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_L1B          Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_L1B          Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_L1B          Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_L1B          Pmd_LINF         
14               25               50               3365             27674            0                11               17               0                74               0.0000008        0.0000011        0.0000026        0.0002873        0.0044428        0.0000001        0.0000041        0.0000033        0.0000000        0.0000207        
4                4                17               1590             17645            0                32               25               2                113              0.0000004        0.0000007        0.0000009        0.0001283        0.0026783        0.0000001        0.0000073        0.0000058        0.0000002        0.0000320        
3                4                4                780              10849            0                43               42               1                175              0.0000001        0.0000003        0.0000005        0.0000503        0.0015934        0.0000001        0.0000116        0.0000100        0.0000003        0.0000495        
1                3                4                286              6748             0                70               86               2                264              0.0000000        0.0000000        0.0000001        0.0000217        0.0009186        0.0000001        0.0000186        0.0000186        0.0000005        0.0000759        
0                0                0                132              3966             1                92               132              11               404              0.0000000        0.0000000        0.0000001        0.0000085        0.0005220        0.0000002        0.0000278        0.0000318        0.0000016        0.0001163        
0                0                1                50               2219             2                155              211              19               558              0.0000000        0.0000000        0.0000000        0.0000035        0.0003001        0.0000004        0.0000433        0.0000529        0.0000035        0.0001721        
0                0                0                21               1299             4                251              339              23               772              0.0000000        0.0000000        0.0000000        0.0000014        0.0001702        0.0000008        0.0000684        0.0000868        0.0000058        0.0002493        
0                0                0                7                784              7                355              587              37               1160             0.0000000        0.0000000        0.0000000        0.0000007        0.0000918        0.0000015        0.0001039        0.0001455        0.0000095        0.0003653        
0                0                0                4                413              15               545              857              70               1543             0.0000000        0.0000000        0.0000000        0.0000003        0.0000505        0.0000030        0.0001584        0.0002312        0.0000165        0.0005196        
0                0                0                2                244              29               735              1362             127              2202             0.0000000        0.0000000        0.0000000        0.0000001        0.0000261        0.0000059        0.0002319        0.0003674        0.0000292        0.0007398        
0                0                0                1                122              44               1118             2071             193              2901             0.0000000        0.0000000        0.0000000        0.0000000        0.0000139        0.0000103        0.0003437        0.0005745        0.0000485        0.0010299        
0                0                0                0                77               75               1659             3122             307              4058             0.0000000        0.0000000        0.0000000        0.0000000        0.0000062        0.0000178        0.0005096        0.0008867        0.0000792        0.0014357        
0                0                0                0                34               109              2377             4407             500              5409             0.0000000        0.0000000        0.0000000        0.0000000        0.0000028        0.0000287        0.0007473        0.0013274        0.0001292        0.0019766        
0                0                0                0                15               179              3167             6408             731              7015             0.0000000        0.0000000        0.0000000        0.0000000        0.0000013        0.0000466        0.0010640        0.0019682        0.0002023        0.0026781        
0                0                0                0                5                246              4377             8884             1185             9541             0.0000000        0.0000000        0.0000000        0.0000000        0.0000008        0.0000712        0.0015017        0.0028566        0.0003208        0.0036322        
0                0                0                0                5                405              6153             12772            1678             12130            0.0000000        0.0000000        0.0000000        0.0000000        0.0000003        0.0001117        0.0021170        0.0041338        0.0004886        0.0048452        
0                0                0                0                2                632              7989             17078            2436             15611            0.0000000        0.0000000        0.0000000        0.0000000        0.0000001        0.0001749        0.0029159        0.0058416        0.0007322        0.0064063        
0                0                0                0                1                929              10774            23156            3530             19922            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0002678        0.0039933        0.0081572        0.0010852        0.0083985        
0                0                0                0                0                1310             14205            30482            4967             24660            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0003988        0.0054138        0.0112054        0.0015819        0.0108645        
0                0                0                0                0                1915             18267            39660            7132             30916            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0005903        0.0072405        0.0151714        0.0022951        0.0139561        
0                0                0                0                0                2726             23409            50917            9811             38055            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0008629        0.0095814        0.0202631        0.0032762        0.0177616        
