edge             Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_L1B          Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_L1B          Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_L1B          Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_L1B          Pmd_LINF         
4.99             110              177              175              169              88               0                4                6                8                6228             0.0000093        0.0000148        0.0000117        0.0000118        0.0000051        0.0000000        0.0000009        0.0000012        0.0000013        0.0016483        
5.30             51               86               71               71               37               1                8                8                14               9054             0.0000042        0.0000062        0.0000046        0.0000047        0.0000014        0.0000001        0.0000017        0.0000020        0.0000027        0.0025537        
5.60             25               40               27               29               7                0                16               18               17               13847            0.0000017        0.0000022        0.0000019        0.0000018        0.0000007        0.0000001        0.0000033        0.0000038        0.0000044        0.0039384        
5.90             10               14               12               10               6                0                18               28               31               19670            0.0000007        0.0000008        0.0000007        0.0000008        0.0000001        0.0000001        0.0000051        0.0000066        0.0000075        0.0059054        
6.20             5                3                2                3                1                0                38               41               54               27813            0.0000002        0.0000005        0.0000005        0.0000005        0.0000000        0.0000001        0.0000089        0.0000107        0.0000129        0.0086867        
6.51             2                4                4                4                0                0                60               88               104              38122            0.0000000        0.0000001        0.0000001        0.0000001        0.0000000        0.0000001        0.0000149        0.0000195        0.0000233        0.0124989        
6.81             0                1                0                0                0                0                78               126              166              51992            0.0000000        0.0000000        0.0000001        0.0000001        0.0000000        0.0000001        0.0000227        0.0000321        0.0000399        0.0176981        
7.11             0                0                1                1                0                2                137              194              213              68329            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000003        0.0000364        0.0000515        0.0000612        0.0245310        
7.42             0                0                0                0                0                5                212              306              395              89309            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000008        0.0000576        0.0000821        0.0001007        0.0334619        
7.72             0                0                0                0                0                3                323              495              584              114347           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000011        0.0000899        0.0001316        0.0001591        0.0448966        
8.02             0                0                0                0                0                14               507              713              900              142749           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000025        0.0001406        0.0002029        0.0002491        0.0591715        
8.32             0                0                0                0                0                23               723              1051             1308             174915           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000048        0.0002129        0.0003080        0.0003799        0.0766630        
8.63             0                0                0                0                0                43               1086             1623             1870             210288           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000091        0.0003215        0.0004703        0.0005669        0.0976918        
8.93             0                0                0                0                0                63               1613             2351             2691             248130           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000154        0.0004828        0.0007054        0.0008360        0.1225048        
9.23             0                0                0                0                0                100              2408             3335             3926             288856           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000254        0.0007236        0.0010389        0.0012286        0.1513904        
9.54             0                0                0                0                0                175              3262             4638             5404             327546           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000429        0.0010498        0.0015027        0.0017690        0.1841450        
9.84             0                0                0                0                0                237              4564             6383             7605             368319           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000666        0.0015062        0.0021410        0.0025295        0.2209769        
10.14            0                0                0                0                0                386              6469             8759             10265            404006           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0001052        0.0021531        0.0030169        0.0035560        0.2613775        
10.44            0                0                0                0                0                621              8564             12172            13836            437504           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0001673        0.0030095        0.0042341        0.0049396        0.3051279        
10.75            0                0                0                0                0                930              11797            15805            18502            464769           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0002603        0.0041892        0.0058146        0.0067898        0.3516048        
11.05            0                0                0                0                0                1342             15579            20935            24145            486179           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0003945        0.0057471        0.0079081        0.0092043        0.4002227        
11.35            0                0                0                0                0                1973             20267            27110            30948            501120           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0005918        0.0077738        0.0106191        0.0122991        0.4503347        
11.65            0                0                0                0                0                2844             25987            34465            39481            506437           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0008762        0.0103725        0.0140656        0.0162472        0.5009784        
11.96            0                0                0                0                0                4053             33142            43737            49401            505227           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0012815        0.0136867        0.0184393        0.0211873        0.5515011        
12.26            0                0                0                0                0                5788             41831            54288            61626            494690           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0018603        0.0178698        0.0238681        0.0273499        0.6009701        
12.56            0                0                0                0                0                7958             51912            67106            75627            476185           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0026561        0.0230610        0.0305787        0.0349126        0.6485886        
12.87            0                0                0                0                0                10702            63937            81930            90836            452762           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0037263        0.0294547        0.0387717        0.0439962        0.6938648        
13.17            0                0                0                0                0                14066            78169            98360            109241           422218           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0051329        0.0372716        0.0486077        0.0549203        0.7360866        
13.47            0                0                0                0                0                18839            93438            117392           128695           390107           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0070168        0.0466154        0.0603469        0.0677898        0.7750973        
13.77            0                0                0                0                0                24783            111186           138002           151154           354709           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0094951        0.0577340        0.0741471        0.0829052        0.8105682        
14.08            0                0                0                0                0                31636            130486           159101           173736           317643           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0126587        0.0707826        0.0900572        0.1002788        0.8423325        
14.38            0                0                0                0                0                40532            151116           182065           198993           278636           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0167119        0.0858942        0.1082637        0.1201781        0.8701961        
14.68            0                0                0                0                0                51032            173530           206993           223812           242298           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0218151        0.1032472        0.1289630        0.1425593        0.8944259        
14.99            0                0                0                0                0                63148            197583           232764           249610           205431           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0281299        0.1230055        0.1522394        0.1675203        0.9149690        
15.29            0                0                0                0                0                77251            221278           257300           275390           174391           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0358550        0.1451333        0.1779694        0.1950593        0.9324081        
15.59            0                0                0                0                0                92941            246410           283117           300114           144760           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0451491        0.1697743        0.2062811        0.2250707        0.9468841        
15.89            0                0                0                0                0                111375           270368           307205           322823           118615           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0562866        0.1968111        0.2370016        0.2573530        0.9587456        
16.20            0                0                0                0                0                132324           295041           329062           345485           96068            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0695190        0.2263152        0.2699078        0.2919015        0.9683524        
16.50            0                0                0                0                0                153919           315886           350188           363335           77032            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0849109        0.2579038        0.3049266        0.3282350        0.9760556        
16.80            0                0                0                0                0                177554           336800           367252           379816           60345            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.1026663        0.2915838        0.3416518        0.3662166        0.9820901        
17.11            0                0                0                0                0                201832           354046           382889           392673           46299            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.1228495        0.3269884        0.3799407        0.4054839        0.9867200        
