x,0,pi_2,pi,2pi
1223,38,38,38,38
1224,39,39,39,39
1225,34,34,34,34
1226,32,32,32,32
1227,34,34,34,34
1228,35,35,35,35
1229,36,36,36,36
1230,37,37,37,37
1231,39,39,39,39
1232,34,34,34,34
1233,29,29,29,29
1234,31,31,31,31
1235,27,27,27,27
1236,35,35,35,35
1237,33,33,33,33
1238,31,31,31,31
1239,32,32,32,32
1240,29,29,29,29
1241,31,31,31,31
1242,32,32,32,32
1243,31,31,31,31
1244,31,31,31,31
1245,33,33,33,33
1246,35,35,35,35
1247,35,35,35,35
1248,36,36,36,36
1249,34,34,34,34
1250,36,36,36,36
1251,32,32,32,32
1252,34,34,34,34
1253,33,33,33,33
1254,34,34,34,34
1255,34,34,34,34
1256,35,35,35,35
1257,30,30,30,30
1258,30,30,30,30
1259,30,30,30,30
1260,29,29,29,29
1261,26,26,26,26
1262,27,27,27,27
1263,26,26,26,26
1264,26,26,26,26
1265,27,27,27,27
1266,26,26,26,26
1267,26,26,26,26
1268,29,29,29,29
1269,30,30,30,30
1270,30,30,30,30
1271,31,31,31,31
1272,33,33,33,33
1273,33,33,33,33
1274,33,33,33,33
1275,33,33,33,33
1276,34,34,34,34
1277,34,34,34,34
1278,33,33,33,33
1279,34,34,34,34
1280,37,37,37,37
