p_omega_pfam6 p_Delta_pfam6 pmd_pfam6
2             8             3.3e-3
2             16            2e-4  
2             64            2.1e-4
4             8             2e-3  
4             16            4.3e-5
4             64            4e-5  
8             8             1.1e-3
8             16            2.3e-5
8             64            0.5e-5
