fa_p8_f3,md_p8_f3,fa_p8_f5,md_p8_f5,fa_p8_f9,md_p8_f9,fa_p16_f3,md_p16_f3,fa_p16_f5,md_p16_f5,fa_p16_f9,md_p16_f9,fa_p64_f3,md_p64_f3,fa_p64_f5,md_p64_f5,fa_p64_f9,md_p64_f9
1.032100e-03,1.171000e-04,1.100000e-06,1.908000e-04,3.000000e-06,1.072000e-04,2.240000e-05,4.932000e-04,4.000000e-07,1.086000e-04,3.000000e-07,5.610000e-05,7.550000e-05,1.759000e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
6.106000e-04,1.694000e-04,6.000000e-07,2.667000e-04,1.700000e-06,1.490000e-04,1.180000e-05,6.531000e-04,3.000000e-07,1.531000e-04,1.000000e-07,7.830000e-05,4.410000e-05,2.527000e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.639000e-04,2.402000e-04,3.000000e-07,3.642000e-04,1.100000e-06,2.084000e-04,6.700000e-06,8.691000e-04,1.000000e-07,2.156000e-04,1.000000e-07,1.089000e-04,2.170000e-05,3.403000e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.114000e-04,3.325000e-04,2.000000e-07,4.958000e-04,6.000000e-07,2.876000e-04,4.300000e-06,1.131200e-03,0.000000e+00,2.945000e-04,0.000000e+00,1.498000e-04,1.080000e-05,4.558000e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.253000e-04,4.522000e-04,1.000000e-07,6.648000e-04,4.000000e-07,3.856000e-04,2.200000e-06,1.473300e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.100000e-06,6.096000e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.290000e-05,6.143000e-04,0.000000e+00,8.892000e-04,1.000000e-07,5.249000e-04,1.200000e-06,1.901500e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.900000e-06,8.012000e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
4.160000e-05,8.264000e-04,0.000000e+00,1.178200e-03,0.000000e+00,6.976000e-04,7.000000e-07,2.441300e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.100000e-06,1.051900e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.240000e-05,1.099500e-03,0.000000e+00,1.548400e-03,0.000000e+00,9.177000e-04,6.000000e-07,3.104400e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.000000e-07,1.366600e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.330000e-05,1.443900e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.000000e-07,3.932700e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.000000e-07,1.764000e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.100000e-06,1.888900e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.000000e-07,4.948500e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.000000e-07,2.263400e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.800000e-06,2.443600e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.166400e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e-07,2.878900e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.800000e-06,3.138100e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.631900e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.606900e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.300000e-06,4.003100e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.000000e-07,5.060000e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
4.000000e-07,6.345700e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.000000e-07,7.891500e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,9.741100e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,1.195770e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,1.457250e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,1.761370e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
