Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_L1B          Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_L1B          Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_L1B          Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_L1B          Pmd_LINF         
5                4                251              16001            13474            2                150              36               2                724              0.0000001        0.0000002        0.0000196        0.0014094        0.0020678        0.0000004        0.0000405        0.0000076        0.0000004        0.0002245        
1                2                117              7576             8366             3                249              58               4                869              0.0000000        0.0000000        0.0000079        0.0006518        0.0012312        0.0000007        0.0000654        0.0000134        0.0000008        0.0003114        
0                0                50               3668             5110             6                379              85               5                1264             0.0000000        0.0000000        0.0000029        0.0002850        0.0007202        0.0000013        0.0001033        0.0000219        0.0000013        0.0004378        
0                0                12               1607             3001             10               533              159              8                1700             0.0000000        0.0000000        0.0000017        0.0001243        0.0004201        0.0000023        0.0001566        0.0000378        0.0000021        0.0006078        
0                0                12               713              1837             13               731              277              13               2282             0.0000000        0.0000000        0.0000005        0.0000530        0.0002364        0.0000036        0.0002297        0.0000655        0.0000034        0.0008360        
0                0                3                293              997              18               1149             443              28               3104             0.0000000        0.0000000        0.0000002        0.0000237        0.0001367        0.0000054        0.0003446        0.0001098        0.0000062        0.0011464        
0                0                1                144              622              48               1505             658              55               4051             0.0000000        0.0000000        0.0000001        0.0000093        0.0000745        0.0000102        0.0004951        0.0001756        0.0000117        0.0015515        
0                0                1                58               339              62               2177             1098             92               5380             0.0000000        0.0000000        0.0000000        0.0000035        0.0000406        0.0000164        0.0007128        0.0002854        0.0000209        0.0020895        
0                0                0                27               189              90               2970             1815             167              6944             0.0000000        0.0000000        0.0000000        0.0000008        0.0000217        0.0000254        0.0010098        0.0004669        0.0000376        0.0027839        
0                0                0                6                101              200              4060             2500             230              8837             0.0000000        0.0000000        0.0000000        0.0000002        0.0000116        0.0000454        0.0014158        0.0007169        0.0000606        0.0036676        
