edge             Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_L1B          Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_L1B          Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_L1B          Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_L1B          Pmd_LINF         
5.46             52               125              114              121              12               0                22               47               51               28104            0.0000028        0.0000108        0.0000109        0.0000093        0.0000014        0.0000000        0.0000064        0.0000113        0.0000118        0.0088110        
5.77             17               59               61               53               8                0                26               57               77               38638            0.0000011        0.0000049        0.0000048        0.0000040        0.0000006        0.0000000        0.0000090        0.0000170        0.0000195        0.0126748        
6.09             5                28               23               28               3                1                66               97               144              52490            0.0000006        0.0000021        0.0000025        0.0000012        0.0000003        0.0000001        0.0000156        0.0000267        0.0000339        0.0179238        
6.41             3                13               11               10               2                3                81               149              174              68864            0.0000003        0.0000008        0.0000014        0.0000002        0.0000001        0.0000004        0.0000237        0.0000416        0.0000513        0.0248102        
6.73             3                5                9                1                1                1                140              237              299              89210            0.0000000        0.0000003        0.0000005        0.0000001        0.0000000        0.0000005        0.0000377        0.0000653        0.0000812        0.0337312        
7.04             0                3                3                1                0                6                232              363              419              113453           0.0000000        0.0000000        0.0000002        0.0000000        0.0000000        0.0000011        0.0000609        0.0001016        0.0001231        0.0450765        
7.36             0                0                1                0                0                10               343              476              659              141419           0.0000000        0.0000000        0.0000001        0.0000000        0.0000000        0.0000021        0.0000952        0.0001492        0.0001890        0.0592184        
7.68             0                0                0                0                0                14               521              709              928              172855           0.0000000        0.0000000        0.0000001        0.0000000        0.0000000        0.0000035        0.0001473        0.0002201        0.0002818        0.0765039        
7.99             0                0                1                0                0                18               695              1189             1373             207654           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000053        0.0002168        0.0003390        0.0004191        0.0972693        
8.31             0                0                0                0                0                49               1071             1569             1946             245819           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000102        0.0003239        0.0004959        0.0006137        0.1218512        
8.63             0                0                0                0                0                66               1462             2117             2644             282990           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000168        0.0004701        0.0007076        0.0008781        0.1501502        
8.94             0                0                0                0                0                96               2058             2951             3679             323325           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000264        0.0006759        0.0010027        0.0012460        0.1824827        
9.26             0                0                0                0                0                216              2834             4115             4925             361906           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000480        0.0009593        0.0014142        0.0017385        0.2186733        
9.58             0                0                0                0                0                272              3854             5547             6689             398168           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000752        0.0013447        0.0019689        0.0024074        0.2584901        
9.89             0                0                0                0                0                426              5235             7431             8820             429954           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0001178        0.0018682        0.0027120        0.0032894        0.3014855        
10.21            0                0                0                0                0                683              6809             9937             11775            457420           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0001861        0.0025491        0.0037057        0.0044669        0.3472275        
10.53            0                0                0                0                0                927              9165             12819            15530            478946           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0002788        0.0034656        0.0049876        0.0060199        0.3951221        
10.85            0                0                0                0                0                1377             11875            16647            19804            494060           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0004165        0.0046531        0.0066523        0.0080003        0.4445281        
11.16            0                0                0                0                0                2011             15544            21582            25539            498427           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0006176        0.0062075        0.0088105        0.0105542        0.4943708        
11.48            0                0                0                0                0                2875             19579            27038            31909            498066           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0009051        0.0081654        0.0115143        0.0137451        0.5441774        
11.80            0                0                0                0                0                3990             24752            33546            39315            489173           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0013041        0.0106406        0.0148689        0.0176766        0.5930947        
12.11            0                0                0                0                0                5561             30978            41729            48911            472358           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0018602        0.0137384        0.0190418        0.0225677        0.6403305        
12.43            0                0                0                0                0                7651             37790            51218            59128            450485           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0026253        0.0175174        0.0241636        0.0284805        0.6853790        
12.75            0                0                0                0                0                10232            46365            61535            71711            422237           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0036485        0.0221539        0.0303171        0.0356516        0.7276027        
13.06            0                0                0                0                0                13666            56098            74112            84482            391490           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0050151        0.0277637        0.0377283        0.0440998        0.7667517        
13.38            0                0                0                0                0                17774            67627            87436            100070           356498           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0067925        0.0345264        0.0464719        0.0541068        0.8024015        
13.70            0                0                0                0                0                22920            79873            102247           115995           320369           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0090845        0.0425137        0.0566966        0.0657063        0.8344384        
14.01            0                0                0                0                0                29468            93767            118894           134656           283867           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0120313        0.0518904        0.0685860        0.0791719        0.8628251        
14.33            0                0                0                0                0                36776            108281           137206           153660           246551           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0157089        0.0627185        0.0823066        0.0945379        0.8874802        
14.65            0                0                0                0                0                46442            125284           156254           173245           213889           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0203531        0.0752469        0.0979320        0.1118624        0.9088691        
14.96            0                0                0                0                0                57125            142984           176196           195397           180790           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0260656        0.0895453        0.1155516        0.1314021        0.9269481        
15.28            0                0                0                0                0                69406            161275           197183           216673           151732           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0330062        0.1056728        0.1352699        0.1530694        0.9421213        
15.60            0                0                0                0                0                83836            181016           217492           236920           125593           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0413898        0.1237744        0.1570191        0.1767614        0.9546806        
15.92            0                0                0                0                0                99550            200490           239266           257766           101878           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0513448        0.1438234        0.1809457        0.2025380        0.9648684        
16.23            0                0                0                0                0                116845           221329           259390           277885           82354            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0630293        0.1659563        0.2068847        0.2303265        0.9731038        
16.55            0                0                0                0                0                135826           240817           278919           298838           65444            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0766119        0.1900380        0.2347766        0.2602103        0.9796482        
16.87            0                0                0                0                0                157889           259870           297304           315864           51186            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0924008        0.2160250        0.2645070        0.2917967        0.9847668        
17.18            0                0                0                0                0                178961           278081           314157           331254           39698            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.1102969        0.2438331        0.2959227        0.3249221        0.9887366        
17.50            0                0                0                0                0                201455           295204           328658           343540           30277            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.1304424        0.2733535        0.3287885        0.3592761        0.9917643        
17.82            0                0                0                0                0                225325           310916           340088           354816           22819            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.1529749        0.3044451        0.3627973        0.3947577        0.9940462        
