edge             Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_LINF         
5.50             28               93               88               14               0                16               31               22406            0.0000040        0.0000112        0.0000091        0.0000012        0.0000000        0.0000063        0.0000100        0.0085877        
5.75             21               58               47               5                1                23               45               28874            0.0000019        0.0000054        0.0000044        0.0000007        0.0000001        0.0000086        0.0000145        0.0114751        
6.00             8                24               22               4                1                42               70               36657            0.0000011        0.0000030        0.0000022        0.0000003        0.0000002        0.0000128        0.0000215        0.0151408        
6.25             7                15               9                1                0                67               72               46052            0.0000004        0.0000015        0.0000013        0.0000002        0.0000002        0.0000195        0.0000287        0.0197460        
6.50             3                11               8                1                1                76               129              57202            0.0000001        0.0000004        0.0000005        0.0000001        0.0000003        0.0000271        0.0000416        0.0254662        
6.75             0                1                2                1                2                127              200              70046            0.0000001        0.0000003        0.0000003        0.0000000        0.0000005        0.0000398        0.0000616        0.0324708        
7.00             0                0                2                0                4                161              259              84866            0.0000001        0.0000003        0.0000001        0.0000000        0.0000009        0.0000559        0.0000875        0.0409574        
7.25             1                1                0                0                4                220              337              101977           0.0000000        0.0000002        0.0000001        0.0000000        0.0000013        0.0000779        0.0001212        0.0511551        
7.50             0                0                1                0                11               261              483              119895           0.0000000        0.0000002        0.0000000        0.0000000        0.0000024        0.0001040        0.0001695        0.0631446        
7.75             0                1                0                0                9                424              596              139586           0.0000000        0.0000001        0.0000000        0.0000000        0.0000033        0.0001464        0.0002291        0.0771032        
8.00             0                1                0                0                17               532              859              162108           0.0000000        0.0000000        0.0000000        0.0000000        0.0000050        0.0001996        0.0003150        0.0933140        
8.25             0                0                0                0                33               739              1088             184879           0.0000000        0.0000000        0.0000000        0.0000000        0.0000083        0.0002735        0.0004238        0.1118019        
8.50             0                0                0                0                35               960              1336             208518           0.0000000        0.0000000        0.0000000        0.0000000        0.0000118        0.0003695        0.0005574        0.1326537        
8.75             0                0                0                0                86               1285             1887             232572           0.0000000        0.0000000        0.0000000        0.0000000        0.0000204        0.0004980        0.0007461        0.1559109        
9.00             0                0                0                0                91               1718             2427             257157           0.0000000        0.0000000        0.0000000        0.0000000        0.0000295        0.0006698        0.0009888        0.1816266        
9.25             0                0                0                0                152              2194             3110             282368           0.0000000        0.0000000        0.0000000        0.0000000        0.0000447        0.0008892        0.0012998        0.2098634        
9.50             0                0                0                0                180              2747             3960             305199           0.0000000        0.0000000        0.0000000        0.0000000        0.0000627        0.0011639        0.0016958        0.2403833        
9.75             0                0                0                0                274              3343             4947             326040           0.0000000        0.0000000        0.0000000        0.0000000        0.0000901        0.0014982        0.0021905        0.2729873        
10.00            0                0                0                0                386              4397             6106             345263           0.0000000        0.0000000        0.0000000        0.0000000        0.0001287        0.0019379        0.0028011        0.3075136        
10.25            0                0                0                0                521              5341             7799             361336           0.0000000        0.0000000        0.0000000        0.0000000        0.0001808        0.0024720        0.0035810        0.3436472        
10.50            0                0                0                0                751              6776             9493             374439           0.0000000        0.0000000        0.0000000        0.0000000        0.0002559        0.0031496        0.0045303        0.3810911        
10.75            0                0                0                0                924              8577             11975            385344           0.0000000        0.0000000        0.0000000        0.0000000        0.0003483        0.0040073        0.0057278        0.4196255        
11.00            0                0                0                0                1298             10426            14627            391564           0.0000000        0.0000000        0.0000000        0.0000000        0.0004781        0.0050499        0.0071905        0.4587819        
11.25            0                0                0                0                1703             12555            17698            395251           0.0000000        0.0000000        0.0000000        0.0000000        0.0006484        0.0063054        0.0089603        0.4983070        
11.50            0                0                0                0                2244             15237            21062            393192           0.0000000        0.0000000        0.0000000        0.0000000        0.0008728        0.0078291        0.0110665        0.5376262        
